0, -0.497138 -8.792358 -0.08083 -0.730013 1.612003 -0.037084 0.099529 0.038257 0.066666 0.081223 0.066499 0.07857 0.053377 0.057021 0.057053 0.069627 0.075178 0.042038 0.132082 0.108601 0.024745 0.108935 0.038128 0.019473 0.099291 0.096427 0.040614 0.017181 0.025305 -0.010202 -0.013875 -7.2839 9.832592 -0.730583 -1.108249;
1, -0.527492 -4.524231 -0.123904 -0.917803 0.842069 -0.065019 0.08828 0.056533 0.102618 0.13661 0.153554 0.157122 0.106626 0.091516 0.062287 0.072236 0.120579 0.068734 0.055204 0.131493 0.054702 0.18878 0.057386 0.084939 0.147949 0.089318 0.067351 0.146137 0.062053 -0.004032 0.165317 -6.357524 5.161759 -0.434738 -0.573622;
2, -0.346623 -3.214516 1.332213 -0.599109 -0.005309 -0.04412 0.031945 0.037348 0.041486 0.057301 0.043358 0.043393 0.037579 -0.019357 -0.031175 -0.053303 0.000162 0.045932 0.148418 0.080065 0.127786 0.176866 0.077017 0.044248 0.101562 0.177665 0.090052 0.111235 0.167603 0.04477 0.01981 -1.327646 4.291219 -0.161012 0.194545;
3, 2.584892 -1.826671 0.308657 -0.478632 -0.059355 -0.003635 0.053025 0.011039 0.013607 0.025802 0.030491 0.02876 0.015222 -0.006788 -0.02284 -0.031379 0.003243 0.013971 0.0787 0.050248 0.039444 0.051426 0.020222 0.011179 0.039145 0.041113 0.018631 0.047703 0.061944 0.017669 0.028111 -0.475232 2.451985 -0.427493 -0.393322;
4, 13.670877 -0.258615 1.193898 1.380889 0.283358 0.051823 0.011634 0.020851 -0.021977 0.001554 0.0087 -0.044396 -0.002144 -0.017205 -0.010897 -0.043701 0.048351 0.012931 -0.036154 0.084101 0.016891 0.025665 0.000293 -0.0027 0.022896 0.098791 0.181393 0.142904 0.108926 0.113399 0.025936 0.202357 -0.221733 -0.557844 -0.559836;
5, 3.821632 0.022553 1.095209 2.333272 0.34517 0.052453 -0.026295 -0.024256 -0.019034 -0.001377 -0.004179 -0.021819 -0.004065 -0.048483 -0.017823 -0.043912 -0.030971 -0.00394 0.019219 0.001595 0.023726 -0.01696 0.032945 -0.012802 0.04093 0.032105 0.012561 0.047503 0.031077 0.038282 0.022028 0.35057 -0.235623 -0.122032 0.023139;
6, 2.922977 0.923892 1.905021 0.749452 0.752662 0.005677 -0.006453 -0.040881 -0.036114 -0.033604 -0.061421 -0.035447 -0.062444 -0.060967 -0.002369 0.017594 -0.037139 -0.010235 0.194426 0.23018 0.153001 0.222646 0.155465 0.148637 0.216248 0.172796 0.102602 0.097487 0.049849 0.215372 0.091366 0.118032 0.492735 0.459692 1.232329;
7, 1.373294 0.033039 1.562958 1.986675 0.800533 -0.054648 -0.046091 -0.022231 -0.0475 0.0497 0.001209 0.032177 0.040774 0.030947 0.059961 -0.007425 0.00466 0.008445 0.007629 -0.00999 0.045479 0.021355 0.045112 0.047256 0.038033 0.049348 0.050998 0.058545 0.099017 0.084682 0.077494 0.263899 -0.260396 0.173017 0.511164;
8, -0.015047 -0.50959 2.195738 1.76024 0.194226 0.0576 -0.003829 -0.064513 -0.062859 -0.014634 -0.002361 -0.025525 -0.023366 0.020066 0.019827 0.016398 -0.014472 0.003261 -0.035142 0.040197 0.160967 0.069444 0.072734 0.057064 0.054851 0.04504 0.035329 0.026817 0.055143 0.055974 0.063176 0.283136 -0.050431 -0.279849 -0.353595;
9, -0.309596 -0.627874 0.503948 1.964409 1.371548 0.0349 0.018981 -0.018139 -0.037003 -0.035612 -0.041023 -0.051538 -0.056556 -0.055398 -0.045373 -0.038364 -0.006086 -0.007628 -0.066877 -0.010111 -0.051835 -0.024791 -0.060993 -0.046022 -0.047631 -0.059559 -0.04153 -0.019085 -0.017148 -0.017211 -0.02461 0.404893 -0.321565 -0.525258 -0.709071;
